Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
07-Feb-24,EQ,160.35,164.85,153.65,157.45,158.00,158.05,159.72,176.85,30.95,33877779.00,5410865084.20,183131.00
06-Feb-24,EQ,167.70,167.70,151.15,166.10,157.45,157.45,157.26,176.85,30.95,49106787.00,7722434971.85,332399.00
05-Feb-24,EQ,174.45,176.85,161.30,168.65,167.00,166.10,169.20,176.85,30.95,109368172.00,18504935272.70,531933.00
02-Feb-24,EQ,150.00,169.95,150.00,141.65,169.95,168.65,162.76,169.95,30.95,238781006.00,38863921074.60,795917.00
01-Feb-24,EQ,131.00,145.00,129.80,129.45,145.00,141.65,137.00,145.00,30.95,169438889.00,23213759850.65,545016.00
31-Jan-24,EQ,127.60,130.60,124.55,127.05,129.90,129.45,127.61,136.30,30.95,60425165.00,7710580890.75,245055.00
30-Jan-24,EQ,131.35,136.30,123.65,127.00,127.40,127.05,130.12,136.30,30.95,99835445.00,12990145853.90,450902.00
29-Jan-24,EQ,117.00,128.45,116.70,114.70,127.90,127.00,124.40,128.45,30.95,127680948.00,15883645294.00,540593.00
25-Jan-24,EQ,106.20,119.40,104.50,105.25,114.55,114.70,113.80,119.40,30.95,230345265.00,26213265834.45,648711.00
24-Jan-24,EQ,99.45,105.90,96.50,98.60,105.35,105.25,102.24,109.50,30.95,89103485.00,9109830843.65,300761.00
23-Jan-24,EQ,104.00,109.50,97.00,101.75,98.85,98.60,103.62,109.50,30.95,124517276.00,12902474119.20,459469.00
20-Jan-24,EQ,95.30,103.85,95.00,94.55,102.00,101.75,100.69,103.85,30.95,102050869.00,10275582723.30,351235.00
19-Jan-24,EQ,87.95,95.90,87.90,87.20,94.35,94.55,93.72,95.90,30.95,108553148.00,10174003323.75,286985.00
18-Jan-24,EQ,87.95,89.60,84.60,87.95,87.45,87.20,86.97,94.35,30.95,23686936.00,2059970603.95,64487.00
17-Jan-24,EQ,88.95,91.70,87.00,90.00,88.40,87.95,89.29,94.35,30.95,26156102.00,2335558624.30,77211.00
16-Jan-24,EQ,92.15,92.95,88.40,91.75,89.75,90.00,91.03,94.35,30.95,30327902.00,2760603000.45,78956.00
15-Jan-24,EQ,91.90,92.25,90.10,91.40,91.70,91.75,91.42,94.35,30.95,28513900.00,2606690495.20,84627.00
12-Jan-24,EQ,92.80,94.35,91.05,92.35,91.50,91.40,92.32,94.35,30.95,44639440.00,4121245630.30,112817.00
11-Jan-24,EQ,93.05,93.60,91.80,92.50,92.30,92.35,92.61,93.65,30.95,18778293.00,1739074385.80,50255.00
10-Jan-24,EQ,91.35,93.65,89.90,91.35,92.45,92.50,91.92,93.65,30.95,62876795.00,5779870142.65,129589.00
09-Jan-24,EQ,85.60,92.50,84.90,85.05,91.15,91.35,90.04,92.50,30.95,95883121.00,8633718997.05,169811.00
08-Jan-24,EQ,87.05,87.85,84.50,86.60,85.10,85.05,85.77,89.85,30.95,15437731.00,1324136699.25,54879.00
05-Jan-24,EQ,87.95,89.45,85.75,87.60,86.65,86.60,87.48,89.85,30.95,21657363.00,1894482959.45,53984.00
04-Jan-24,EQ,88.60,89.85,86.90,88.00,87.35,87.60,88.39,89.85,30.95,49933311.00,4413665026.35,116898.00
03-Jan-24,EQ,80.60,88.55,79.75,80.60,87.80,88.00,86.30,88.55,30.95,125974979.00,10871510708.95,228136.00
02-Jan-24,EQ,82.15,82.20,79.00,81.85,80.70,80.60,80.46,85.90,30.95,13866797.00,1115729142.75,40404.00
01-Jan-24,EQ,81.95,83.10,81.60,81.55,81.90,81.85,82.30,85.90,30.95,10161058.00,836302862.95,28327.00
29-Dec-23,EQ,83.30,83.30,81.15,82.85,81.60,81.55,81.91,85.90,30.95,17553965.00,1437801947.85,44239.00
28-Dec-23,EQ,80.40,84.65,79.55,79.95,83.00,82.85,82.96,85.90,30.95,66789947.00,5540809256.45,114951.00
27-Dec-23,EQ,78.90,81.40,78.70,78.30,79.90,79.95,80.34,85.90,30.95,25753924.00,2069058750.55,56003.00
26-Dec-23,EQ,78.50,79.15,78.00,78.40,78.40,78.30,78.48,85.90,30.95,6184108.00,485299688.05,22773.00
22-Dec-23,EQ,78.65,78.85,76.80,78.20,78.20,78.40,78.11,85.90,30.95,10217786.00,798125291.25,33813.00
21-Dec-23,EQ,73.95,78.60,72.50,75.35,78.35,78.20,76.39,85.90,30.95,26177171.00,1999739144.85,68794.00
20-Dec-23,EQ,82.85,82.95,73.00,82.40,74.85,75.35,78.58,85.90,30.95,25217566.00,1981663142.90,80276.00
19-Dec-23,EQ,83.00,83.65,82.00,82.80,82.50,82.40,82.60,85.90,30.95,9765887.00,806624793.80,29039.00
18-Dec-23,EQ,82.20,83.70,80.80,82.10,82.70,82.80,82.46,85.90,30.95,17895635.00,1475618602.40,44790.00
15-Dec-23,EQ,83.25,85.90,81.55,82.50,82.05,82.10,83.76,85.90,30.95,34913238.00,2924454425.75,67565.00
14-Dec-23,EQ,83.70,84.75,82.20,80.20,82.60,82.50,83.32,84.75,30.95,50685738.00,4223100781.90,109419.00
13-Dec-23,EQ,80.60,80.95,79.55,80.40,80.00,80.20,80.17,82.80,30.95,11135352.00,892739710.70,28001.00
12-Dec-23,EQ,80.45,82.15,79.65,79.95,80.50,80.40,80.70,82.80,30.95,26764745.00,2159892609.15,69376.00
